station id,lon,lat,area,elev
2910594,86.2,54.37,734,327.1
2910595,86.23,54.23,475,323.9
2910605,82.95,54.8,232000,1019.1
2910606,81.33,53.8,216000,1102.6
2910607,83.82,53.4,169000,1247.7
2910608,84.92,52.45,98200,1530.8
2910635,82.45,54.38,1140,217.3
2910643,83.7,53.68,345,215
2910645,85.2,53.88,1440,319
2910647,85.4,53.98,628,357.6
2910648,85.3,54.03,101,293.2
2910650,83.4,54.63,6270,265.1
2910651,84.23,54.33,2480,300.8
2910655,83.33,54.8,270,211.8
2910656,84.58,54.3,290,295.8
2910660,83.57,53.8,20600,281.9
2910661,84.95,53.73,15900,300.6
2910662,85.42,53.47,11000,301.6
2910663,86.25,53.28,4340,300.2
2910665,86.53,53.28,771,291
2910666,86.5,53.6,432,324.7
2910669,85.92,53.47,1200,345.3
2910695,84.67,52.98,953,295.8
2910697,86.18,52.25,856,461.1
2910700,87.23,53.33,7080,569.1
2910701,87.25,52.82,2510,668.3
2910702,87.87,52.75,842,712.7
2910710,86.47,52.87,126,292.5
2910716,87.4,53.22,1110,608.8
2910718,87.3,53.58,1060,571
2910720,87.8,53.7,8790,810.9
2910721,88.43,52.82,3170,899.1
2910725,87.17,54.03,1110,300.3
2910730,87.58,54.3,1860,878.5
2910735,87.55,54.2,1020,687.9
2910740,87.53,54.83,1330,564
2910745,87.92,53.87,641,463.9
2910747,87.57,53.02,146,693.7
2910750,86.33,50.12,627,2710.7
2911109,85.22,48,55900,1641.3
2911150,69.2,57.67,15600,82.6
2911151,68.92,57.03,9740,96.5
2911162,69.5,57.8,3430,66.1
2911165,69.22,57.13,2140,85.4
2911170,68.58,56.43,2540,100.6
2911180,68.68,57.53,2080,54.5
2911206,66.28,52.02,86200,347.2
2911209,69.47,56.1,154000,245
2911303,70.63,56.82,165000,234.6
2911304,70.85,57.45,171000,224.3
2911310,71.4,57.5,2440,64.5
2911315,70.95,56.82,1030,71
2911380,73.07,57.1,4580,63.7
2911381,72.63,56.98,4070,62.2
2911395,73.67,57.02,836,61
2911400,72.92,57.63,6500,89.5
2911401,73.92,57.82,3050,89
2911405,74.28,57.27,3750,74.6
2911406,74.75,57.35,2320,64.4
2911420,78.02,55.72,16200,89.5
2911421,77.3,56.07,8470,90.3
2911422,78.35,56.35,5480,97
2911427,77.52,56.63,1430,74.4
2911430,77.25,55.67,2310,92.2
2911450,73.47,55.02,52400,98.5
2911452,74.58,55.07,47800,97.5
2911454,76.38,55.6,39200,97.6
2911455,78.32,55.45,12200,119.8
2911456,79.07,55.68,10200,122.5
2911457,80.03,55.85,6500,132.8
2911460,75.25,56.38,16400,82.2
2911461,76.02,56.47,14200,83.3
2911463,76.38,55.6,6250,100.1
2911464,78.32,56.62,2750,96.3
2911467,75.83,56.48,579,63.5
2911470,74.52,57.07,6650,68.1
2911471,75.32,56.95,4460,68.8
2911472,76.15,56.92,1310,75.6
2911512,81.95,49.17,1800,756.2
2911525,83.03,49.67,1000,883.4
2911527,82.8,49,758,764.7
2911550,81.88,50.6,8470,1094
2911552,83.63,50.6,1530,1796.4
2911555,82.75,50.38,972,858
2911590,80.18,52.97,12300,189.6
2911592,81.22,53,1400,213.4
2911595,79.93,52.7,992,224.1
2911700,69,60.33,68600,82.9
2911701,68.8,59.82,65400,83
2911703,64.83,60.15,23400,100.7
2911704,64.22,60.23,13900,101.8
2911715,67.47,58.4,6780,58.3
2911717,67.43,58.25,2770,50.8
2911731,70.4,59.53,30600,88.3
2911800,82.83,49.93,4900,1188.9
2911801,82.9,49.98,2170,1136.3
2911810,84.08,49.88,1200,1455.2
2911820,84.33,49.82,10700,1645.2
2911821,85.17,49.33,6860,2239
2911822,86.47,49.37,1850,2512.7
2911825,85.05,49.53,449,1254.6
2911826,85.37,49.23,629,2135.5
2911827,85.9,49.23,481,1689.2
2911829,84.6,49.18,1960,1271.1
2911840,83.88,48.6,5840,1554.9
2911845,85.18,48.68,3090,1264.8
2911900,84.4,49.52,251,571.8
2912200,60.48,54.13,3600,389.5
2912220,62.18,53.8,7970,227.6
2912270,66.47,56.17,3250,116.2
2912277,66.55,56.5,917,112.2
2912400,65.53,57.15,58500,141.9
2912401,63.7,58.07,29000,191.1
2912402,60.78,58.87,5290,214.5
2912403,59.67,58.32,244,256
2912410,61.05,58.7,3120,157.3
2912415,61.6,58.37,1400,148.6
2912420,61.75,58.45,7920,220.9
2912421,60.97,58.22,3900,251.4
2912430,65.83,56.95,18600,133.8
2912431,63.67,57.02,11000,150.5
2912435,63.72,56.95,935,127.5
2912437,64.3,56.85,1700,122
2912438,65.18,56.92,956,121.6
2912439,65.83,57.55,895,61
2912500,60.26,59.05,2940,250.9
2912505,60.67,59.05,3010,236.6
2912550,61.88,63.67,65200,187.3
2912553,60.88,62.43,9850,202.6
2912555,63.05,63.37,69100,185.3
2912556,64.4,63.18,87800,180.9
2912561,60.95,64.25,18500,250.5
2912615,65.78,66.87,1240,565.1
2912640,68.73,66.03,15100,88.7
2912647,67.25,63.7,7100,102
2912650,61.92,59.17,22100,209.8
2912652,60.42,60.22,4390,293.3
2912655,60.42,60.7,2250,282.6
2912656,59.97,60.15,1420,293.1
2912666,59.88,59.77,480,232.9
2912667,61.27,59.38,403,99
2912670,65.35,56.48,56000,208.2
2912671,64.57,56.15,52300,212.9
2912674,62.58,56.28,12800,229.5
2912675,61.18,56.62,3500,274.6
2912680,64.43,55.95,21400,190.8
2912681,63.22,55.38,14600,251.6
2912682,61.35,55.32,5680,339.5
2912683,61.27,55.07,5300,344.4
2912685,60.23,55.33,1830,412.6
2912691,61.22,54.58,3620,294.8
2912696,65.1,56.53,778,119.7
2912750,62.27,56.25,5000,209.2
2912905,60.3,57.03,220,323.9
2912907,61.68,56.15,1170,221.7
2912909,61.77,56.17,1730,217
2912910,62.75,56.1,7120,202.3
2912955,63.08,57.67,17300,154.8
2912957,60.73,57.73,1860,230.4
2912960,62.3,57.9,4400,179.7
2912963,61.2,57.45,101,213
2916660,69.32,39.82,712,3356.9
2916665,69.85,39.98,1740,3125.5
2916670,71.72,40.12,1300,3437.9
2916680,72.03,40.16,2220,3178.3
2916690,73.12,40.87,1010,2548.3
2916710,73.85,40.65,907,3611.9
2916720,73.22,40.85,1180,3362.2
2916730,73.47,40.3,2740,3299.6
2916740,71.98,41.6,863,1807.6
2916750,74.35,41.85,5290,2867.4
2916760,73.68,40.57,3840,3595.8
2916770,73,41.25,1300,2217.5
2916780,73.12,40.87,381,1914.9
2916810,72.62,40.35,1680,3035
2916860,73.98,41.42,34600,3491.2
2916880,73.55,40.85,166,2768.3
2916890,76.02,41.43,10500,3885
2916900,71.7,41.6,366,2313.4
2917300,66.35,39.03,4550,1917.2
2917310,66,38.83,511,2534.5
2917410,67.88,38.43,901,1636.9
2917420,67.12,38.92,435,2580.9
2917450,67.77,39.38,10200,3313.2
2917460,67.42,39,845,3002.3
2917470,68.57,38.63,362,1758.5
2917475,68.33,38.63,684,2310.8
2917480,67.67,39.48,1100,3086.1
2917550,68.75,38.76,1270,2630.7
2917600,69.05,38.58,3040,2664.3
2917610,68.15,37.6,9780,1552.7
2917630,68,38.05,2630,1944.1
2917635,67.9,38.27,2200,1988.5
2917700,71.52,37.53,13700,4519.4
2917710,71.57,37.35,4180,4495.9
2917760,70.52,38.7,5390,3851.1
2917820,72.48,38.3,16700,4455.6
2917830,73.97,38.17,10500,4451.6
2917840,72.48,38.33,4500,4104.3
2917850,71.42,38.2,1940,3988.4
2917920,70.33,39,20000,4385.1
2917940,71.38,39.27,8370,4222.8
2943100,95.12,50.27,4240,1934.8
2964080,100.55,17.77,13300,603.9
2969010,100.08,20.27,189000,3070.2
2969011,99.36,20.06,2980,1097.8
2969430,101.67,17.9,292000,2588.7
2969435,101.27,17.43,703,768.4
2969437,101.15,17.29,401,426.4
2997500,80.32,55.23,3910,126.2
2997501,78.67,54.7,6440,114
2998100,135.23,69.77,216000,734.2
2998110,136.08,70.75,224000,659.1
2998111,135.23,69.77,216000,734.2
2998200,155.9,62.63,5880,942.8
2998320,150.82,62.72,9970,778.2
2998400,147.35,69.58,305000,884.9
2998401,141.88,64.05,51100,1362.9
2998402,143.12,64.53,83500,1314.3
2998412,142,64.4,17600,1276.9
